Table 3,,,,,,,,,,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,,,,,,,,,,
"Offense and Population Percent Distribution by Region, 2015",,,,,,,,,,,,,,,,,,,,
Region,Population,"Violentcrime","Murder and nonnegligent manslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2",Robbery,"Aggravatedassault","Propertycrime",Burglary,"Larceny-theft","Motorvehicletheft",,, ,,,,,,
United States Total3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,,,,
Northeast,17.5,14.7,12.4,13.1,13.3,17.2,13.9,11.9,10.0,12.9,8.0,,,,,,,,,
Midwest,21.1,19.6,21.5,24.2,24.3,18.9,19.2,19.3,19.4,19.6,16.7,,,,,,,,,
South,37.7,41.2,45.9,37.4,36.8,38.6,42.8,42.2,45.2,42.2,35.3,,,,,,,,,
West,23.7,24.5,20.2,25.3,25.6,25.3,24.2,26.6,25.4,25.3,39.9,,,,,,,,,
1 The figures shown in the rape (revised definition) column were calculated using the revised Uniform Crime Reporting (UCR) definition of rape. See data declaration for further explanation.,,,,,,,,,,,,,,,,,,,,
2 The figures shown in the rape (legacy definition) column were calculated using the legacy UCR definition of rape. See data declaration for further explanation.,,,,,,,,,,,,,,,,,,,,
"3 Because of rounding, the percentages may not add to 100.0. ",,,,,,,,,,,,,,,,,,,,
"NOTE:  Although arson data are included in the trend and clearance tables, sufficient data are not available to estimate totals for this offense. Therefore, no arson data are published in this table.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,,,,,,,
