Table 9,,,,,,,,,,,,,,,,,,
Offenses Known to Law Enforcement ,,,,,,, ,,, ,,,,,,,,
"by State by University and College, 2015",,,,,,,,,,,,,,,,,,
State,University/College ,Campus,"Studentenrollment1","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)2","Rape(legacydefinition)3",Robbery,"Aggravatedassault","Propertycrime",Burglary,"Larceny-theft","Motorvehicletheft",Arson4,,,,
ALABAMA,Alabama A&M University,,"5,333",12,0,2,,3,7,78,1,75,2,,,,,
,Jacksonville State University,,"8,659",7,0,0,,0,7,59,9,50,0,,,,,
,Samford University,,"4,933",3,0,0,,0,3,46,8,34,4,,,,,
,Tuskegee University,,"3,103",5,0,0,,1,4,112,12,97,3,,,,,
,University of Alabama: ,Birmingham,"18,698",24,0,2,,3,19,395,5,379,11,,,,,
,,Huntsville,"7,348",10,0,1,,1,8,73,18,55,0,,,,,
,,Tuscaloosa,"36,047",15,0,3,,9,3,359,36,316,7,,,,,
,University of South Alabama,,"15,805",21,0,1,,3,17,165,28,136,1,,,,,
ALASKA,University of Alaska: ,Anchorage,"17,151",4,0,1,,0,3,95,4,88,3,0,,,,
,,Fairbanks,"8,620",3,0,2,,0,1,50,3,44,3,0,,,,
ARIZONA,Arizona State University,Main Campus,"83,260",35,0,9,,6,20,"1,045",78,946,21,3,,,,
,Central Arizona College,,"5,937",1,0,1,,0,0,20,8,12,0,0,,,,
,Northern Arizona University,,"27,705",28,1,20,,0,7,274,21,252,1,0,,,, 
,Pima Community College,,"28,070",1,0,0,,1,0,87,5,79,3,0,,,,
,University of Arizona,,"42,236",25,0,17,,2,6,598,32,551,15,1,,,,
,Yavapai College,,"7,842",0,0,0,,0,0,4,0,4,0,0,,,,
ARKANSAS,Arkansas State University: ,Beebe,"4,140",0,0,0,,0,0,7,0,7,0,0,,,,
,,Jonesboro,"13,144",11,0,4,,2,5,76,8,68,0,0,,,,
,Arkansas Tech University,,"12,002",6,0,5,,0,1,83,7,74,2,0,,,,
,Henderson State University,,"3,627",1,0,1,,0,0,47,7,39,1,0,,,,
,Southern Arkansas University,,"3,546",0,0,0,,0,0,13,4,9,0,0,,,,
,University of Arkansas: ,Fayetteville,"26,237",9,1,7,,0,1,176,10,123,43,0,,,,
,,Little Rock,"11,645",8,0,1,,3,4,85,1,84,0,0,,,,
,,Medical Sciences,"2,890",2,0,0,,1,1,103,2,96,5,0,,,,
,,Monticello,"3,854",0,0,0,,0,0,21,1,20,0,0,,,,
,,Pine Bluff,"2,513",0,0,0,,0,0,77,9,67,1,0,,,,
CALIFORNIA,Allan Hancock College,,"11,047",0,0,0,,0,0,21,2,18,1,0,,,,
,California State Polytechnic University: ,Pomona,"23,966",6,0,4,,1,1,173,5,150,18,1,,,,
,,San Luis Obispo5,"20,186",3,0,2,,0,1,163,7,149,7,1,,,,
,California State University: ,Bakersfield,"8,720",1,0,0,,0,1,78,12,65,1,0,,,,
,,Channel Islands,"5,879",2,0,0,,1,1,62,7,54,1,0,,,,
,,Chico5,"17,287",7,0,3,,1,3,254,13,235,6,2,,,,
,,Dominguez Hills,"14,687",4,0,0,,0,4,72,5,65,2,0,,,,
,,East Bay,"14,823",2,0,2,,0,0,97,11,80,6,0,,,,
,,Fresno,"23,179",13,0,3,,3,7,267,43,209,15,1,,,,
,,Fullerton5,"38,128",8,0,3,,1,4,248,22,218,8,0,,,,
,,Long Beach5,"36,809",6,0,4,,1,1,148,12,129,7,0,,,,
,,Los Angeles5,"24,488",14,0,2,,0,12,147,23,119,5,0,,,,
,,Monterey Bay,"6,631",12,0,6,,0,6,35,8,24,3,0,,,,
,,Northridge,"40,131",7,0,3,,2,2,302,16,278,8,0,,,,
,,Sacramento,"29,349",12,0,2,,5,5,195,7,186,2,1,,,,
,,San Bernardino,"18,952",8,0,2,,5,1,104,3,80,21,0,,,,
,,San Jose5,"32,713",29,0,2,,5,22,442,30,397,15,1,,,,
,,San Marcos,"12,154",7,0,7,,0,0,59,2,57,0,0,,,,
,,Stanislaus,"9,045",2,0,2,,0,0,72,1,70,1,0,,,,
,College of the Sequoias,,"10,647",4,0,0,,1,3,70,12,51,7,0,,,,
,Contra Costa Community College,,"35,481",3,0,0,,3,0,194,17,156,21,1,,,,
,Cuesta College5,,"9,221",0,0,0,,0,0,13,1,11,1,0,,,,
,El Camino College,,"24,207",3,0,0,,3,0,112,6,101,5,0,,,,
,Foothill-De Anza College,,"38,134",1,0,0,,1,0,72,5,64,3,0,,,,
,Humboldt State University,,"8,485",7,0,3,,0,4,153,12,139,2,2,,,,
,Marin Community College,,"5,500",3,0,2,,0,1,27,2,25,0,0,,,,
,Pasadena Community College5,,"26,611",5,0,0,,1,4,104,5,99,0,0,,,,
,Riverside Community College,,"36,582",1,0,0,,0,1,74,6,57,11,1,,,,
,San Bernardino Community College,,"18,897",1,0,0,,0,1,84,13,62,9,0,,,,
,San Diego State University,,"33,483",26,0,12,,5,9,457,32,400,25,0,,,,
,San Francisco State University,,"29,465",7,0,2,,2,3,220,26,180,14,0,,,,
,San Jose/Evergreen Community College5 ,,"18,205",1,0,0,,0,1,46,4,40,2,0,,,,
,Santa Rosa Junior College5,,"23,144",5,0,2,,0,3,86,10,72,4,0,,,,
,Sonoma State University,,"9,290",3,0,3,,0,0,128,21,105,2,0,,,,
,State Center Community College District,,"36,940",7,0,0,,2,5,222,28,184,10,0,,,,
,University of California: ,Berkeley,"37,565",35,0,9,,12,14,749,43,688,18,1,,,,
,,Davis,"34,508",22,0,13,,4,5,600,27,568,5,3,,,,
,,Hastings College of Law,"1,003",19,0,1,,4,14,40,4,36,0,0,,,,
,,Irvine5,"30,051",22,0,9,,4,9,467,45,405,17,3,,,,
,,Los Angeles,"41,845",97,0,27,,22,48,817,136,663,18,2,,,,
,,"Medical Center, Sacramento6",,24,0,2,,0,22,200,16,180,4,4,,,,
,,Merced,"6,268",11,0,3,,0,8,23,2,19,2,0,,,,
,,Riverside,"21,498",10,0,3,,6,1,291,28,250,13,1,,,,
,,San Diego,"30,709",7,0,1,,1,5,511,28,461,22,1,,,,
,,San Francisco,"3,170",15,0,1,,4,10,437,34,387,16,0,,,,
,,Santa Barbara,"23,051",28,0,15,,2,11,203,17,186,0,1,,,,
,,Santa Cruz,"17,866",21,0,11,,2,8,341,26,304,11,1,,,,
,Ventura County Community College District,,"33,956",0,0,0,,0,0,39,0,39,0,0,,,,
,West Valley-Mission College5,,"17,497",5,0,0,,3,2,43,12,27,4,0,,,,
COLORADO,Adams State University,,"3,154",1,0,1,,0,0,74,5,68,1,0,,,,
,Aims Community College,,"5,001",0,0,0,,0,0,1,0,1,0,0,,,,
,Auraria Higher Education Center6,,,3,0,1,,2,0,186,5,168,13,0,,,,
,Colorado School of Mines,,"5,962",0,0,0,,0,0,50,3,46,1,0,,,,
,Colorado State University,Fort Collins,"31,354",2,0,2,,0,0,268,5,262,1,6,,,,
,Fort Lewis College,,"3,791",2,0,2,,0,0,41,4,37,0,0,,,,
,Red Rocks Community College,,"8,112",0,0,0,,0,0,16,1,15,0,0,,,,
,University of Colorado:,Boulder,"32,432",10,0,5,,1,4,462,27,426,9,4,,,,
,,Colorado Springs,"11,761",4,0,1,,1,2,78,2,74,2,0,,,,
,,Denver,"22,791",2,0,0,,0,2,57,1,50,6,0,,,,
,University of Northern Colorado,,"12,050",4,0,4,,0,0,136,3,132,1,1,,,,
CONNECTICUT,Central Connecticut State University,,"12,037",1,0,1,,0,0,20,0,20,0,0,,,,
,Eastern Connecticut State University,,"5,287",0,0,0,,0,0,55,3,48,4,0,,,,
,Southern Connecticut State University,,"10,825",2,0,0,,1,1,50,0,48,2,0,,,,
,University of Connecticut: ,Health Center6,,0,0,0,,0,0,5,0,5,0,0,,,,
,,"Storrs, Avery Point and Hartford6",,4,0,2,,1,1,193,13,169,11,2,,,,
,Western Connecticut State University,,"5,952",0,0,0,,0,0,30,8,22,0,0,,,,
,Yale University,,"12,336",17,0,7,,9,1,269,64,202,3,0,,,,
DELAWARE,Delaware State University,,"4,397",17,0,7,,1,9,87,8,78,1,0,,,,
,University of Delaware,,"22,680",5,0,1,,1,3,155,10,145,0,1,,,,
FLORIDA,Florida A&M University,,"10,241",7,0,2,,3,2,192,17,168,7,0,,,,
,Florida Atlantic University,,"30,297",3,0,2,,0,1,185,26,146,13,0,,,,
,Florida Gulf Coast University,,"14,473",9,0,0,,1,8,71,3,67,1,0,,,,
,Florida International University,,"49,610",16,0,5,,4,7,381,21,346,14,0,,,,
,Florida Polytechnic University6,,,0,0,,0,0,0,3,0,3,0,0,,,,
,Florida SouthWestern State College,,"15,389",4,0,2,,0,2,20,1,19,0,0,,,,
,Florida State University:,Panama City6,,2,0,0,,1,1,1,0,1,0,0,,,,
,,Tallahassee,"41,226",20,0,10,,2,8,388,29,307,52,3,,,,
,New College of Florida,,834,1,0,1,,0,0,39,4,35,0,1,,,,
,Pensacola State College,,"10,317",5,0,1,,0,4,34,2,32,0,0,,,,
,Santa Fe College,,"15,055",0,0,0,,0,0,26,0,26,0,0,,,,
,Tallahassee Community College,,"13,049",3,0,0,,1,2,75,0,74,1,0,,,,
,University of Central Florida,,"60,767",20,0,6,,4,10,296,33,248,15,0,,,,
,University of Florida,,"49,459",15,0,6,,4,5,477,40,425,12,0,,,,
,University of North Florida,,"15,984",3,0,1,,0,2,111,4,105,2,0,,,,
,University of South Florida: ,St. Petersburg,"4,491",1,0,0,,1,0,29,2,27,0,0,,,,
,,Tampa,"41,938",9,0,1,,7,1,513,38,463,12,1,,,,
