Table 11,,,,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,,,,,,,,,,,
"by State by State, Tribal, and Other Agencies, 2015",,,,,,,,,,,,,,
State,State/Tribal/Other Agencies,Unit/Office,"Violent crime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2",Robbery,"Aggravatedassault","Propertycrime",Burglary,"Larceny-theft","Motorvehicletheft",Arson3,
ALABAMAÐTribal Agencies,Poarch Creek Tribal,,13,0,2,,8,3,375,24,339,12,0,
ALASKAÐState Agencies,Alaska State Troopers,,"1,015",22,176,,41,776,"3,030","1,047","1,548",435,39,
ALASKAÐOther Agencies,Anchorage International Airport,,5,0,0,,2,3,121,7,107,7,0,
,Fairbanks International Airport,,0,0,0,,0,0,17,0,17,0,0,
ARIZONAÐState Agencies,Arizona Department of Public Safety,,46,0,2,,1,43,34,1,32,1,1,
ARIZONAÐTribal Agencies,Cocopah Tribal,,4,0,0,,0,4,17,6,11,0,1,
,Colorado River Agency,,3,0,0,,0,3,0,0,0,0,0,
,Colorado River Tribal,,52,0,1,,23,28,144,4,136,4,,
,Fort Apache Agency,,45,3,27,,0,15,0,0,0,0,,
,Fort McDowell Tribal,,9,0,0,,0,9,32,3,26,3,,
,Fort Mojave Tribal,,31,0,0,,1,30,52,4,44,4,,
,Gila River Indian Community,,320,6,76,,23,215,585,85,418,82,,
,Hopi Tribal,,16,0,0,,0,16,80,39,36,5,1,
,Hualapai Tribal,,41,0,2,,0,39,92,16,71,5,,
,Kaibab Paiute Tribal,,0,0,0,,0,0,2,2,0,0,0,
,Navajo Nation,,"1,546",17,164,,7,"1,358",534,184,240,110,27,
,Pascua Yaqui Tribal,,33,0,0,,2,31,191,58,126,7,,
,Quechan Tribal,,7,0,0,,1,6,39,22,13,4,0,
,Salt River Tribal,,352,1,2,,5,344,492,62,392,38,,
,San Carlos Agency,,2,0,0,,0,2,0,0,0,0,0,
,Tohono O'odham Nation,,186,2,20,,28,136,269,84,133,52,,
,Tonto Apache Tribal,,0,0,0,,0,0,23,14,8,1,,
,Truxton Canon Agency,,9,0,0,,0,9,3,0,3,0,,
,Yavapai-Apache Nation,,6,0,0,,0,6,17,2,14,1,0,
ARIZONAÐOther Agencies,Tucson Airport Authority,,0,0,0,,0,0,62,3,30,29,0,
ARKANSASÐState Agencies,State Capitol Police,,1,0,0,,1,0,56,1,55,0,0,
CALIFORNIAÐState Agencies,Atascadero State Hospital4,,321,0,0,,0,321,4,0,2,2,0,
,California State Fair4,,12,0,0,,0,12,79,21,56,2,1,
,Coalinga State Hospital,,149,0,0,,0,149,3,1,2,0,0,
,Department of Parks and Recreation: ,Angeles,2,0,0,,1,1,26,8,18,0,0,
,,Bay Area,0,0,0,,0,0,1,0,0,1,0,
