Table 12,,, ,,,,,,,,,,,,,,
Crime Trends,,, ,,,,,,, ,, ,,,,,
"by Population Group, 2014Ð2015",,,,,,,,,,,,,,,,,
Population group,,"Violent crime","Murder and nonnegligent manslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2",Robbery,"Aggravated assault","Property crime",Burglary,"Larceny-theft","Motor vehicle theft",Arson,"Number of agencies","2015 estimated population", ,, 
TOTAL ALL AGENCIES:,2014,"1,118,918","13,594","89,098","7,115","310,511","698,600","7,730,805","1,613,258","5,464,398","653,149","42,914",,,,,
,2015,"1,160,664","15,192","94,717","7,586","315,660","727,509","7,549,676","1,489,820","5,383,743","676,113","41,376","15,545","305,159,115",  , , 
,Percent change,+3.7 ,+11.8 ,+6.3 ,+6.6 ,+1.7 ,+4.1 ,-2.3  ,-7.7  ,-1.5  ,+3.5 ,-3.6  ,,,,,
TOTAL CITIES,2014,"894,588","10,513","66,134","4,782","272,092","541,067","6,103,377","1,176,651","4,404,971","521,755","32,603", ,,,,
,2015,"929,348","11,862","70,759","5,123","276,831","564,773","5,998,043","1,092,856","4,362,498","542,689","31,557","11,122","206,728,529",,,
,Percent change,+3.9 ,+12.8 ,+7.0 ,+7.1 ,+1.7 ,+4.4 ,-1.7  ,-7.1  ,-1.0  ,+4.0 ,-3.2  , ,,,,
"GROUP I (250,000 and over)",2014,"420,517","5,370","24,607","1,040","150,505","238,995","2,006,899","404,912","1,361,161","240,826","11,730", ,,,, 
,2015,"437,895","6,146","26,947","1,129","154,760","248,913","1,987,100","378,045","1,365,521","243,534","11,931",80,"59,097,749",,,
,Percent change,+4.1 ,+14.5 ,+9.5 ,+8.6 ,+2.8 ,+4.1 ,-1.0  ,-6.6  ,+0.3 ,+1.1 ,+1.7 , ,,,,
"1,000,000 and over (Group I subset)",2014,"177,366","2,017","10,367",-,"67,346","97,636","737,431","139,640","504,988","92,803","4,149",,,,,
,2015,"187,350","2,231","12,147",-,"69,301","103,671","726,998","131,803","501,699","93,496","3,921",11,"27,404,679",,,
,Percent change,+5.6 ,+10.6 ,+17.2 ,-,+2.9 ,+6.2 ,-1.4  ,-5.6  ,-0.7  ,+0.7 ,-5.5  , ,,, ,
"500,000 to 999,999 (Group I subset)",2014,"132,955","1,719","7,755",612,"43,570","79,299","675,699","138,006","460,506","77,187","3,184",,,,,
,2015,"135,732","2,066","7,919",620,"46,025","79,102","668,848","129,169","463,493","76,186","3,480",22,"15,610,663",,,
,Percent change,+2.1 ,+20.2 ,+2.1 ,+1.3 ,+5.6 ,-0.2  ,-1.0  ,-6.4  ,+0.6 ,-1.3  ,+9.3 ,, ,, ,
"250,000 to 499,999 (Group I subset)",2014,"110,196","1,634","6,485",428,"39,589","62,060","593,769","127,266","395,667","70,836","4,397",,,,,
,2015,"114,813","1,849","6,881",509,"39,434","66,140","591,254","117,073","400,329","73,852","4,530",47,"16,082,407", ,,
,Percent change,+4.2 ,+13.2 ,+6.1 ,+18.9 ,-0.4  ,+6.6 ,-0.4  ,-8.0  ,+1.2 ,+4.3 ,+3.0 ,,,,,
"GROUP II (100,000 to 249,999)",2014,"143,201","1,797","11,010",678,"44,227","85,489","1,056,023","213,004","741,802","101,217","5,356",,,,,
,2015,"150,861","1,999","11,875",789,"44,821","91,377","1,054,055","198,842","746,268","108,945","4,999",216,"32,227,725",,,
