,State,School,Student enrollment,Violent crime,Murder and nonnegligent manslaughter,Robbery,Aggravated assault,Property crime,Burglary,Larceny theft,Motor vehicle theft,Arson,Rape
0,ALABAMA,Alabama A&M University,"4,853",6,0,2,3,165,14,147,4,0.0,1.0
1,ALABAMA,Jacksonville State University,"9,161",2,0,0,2,88,15,69,4,0.0,0.0
2,ALABAMA,Samford University,"4,758",0,0,0,0,88,18,70,0,0.0,0.0
3,ALABAMA,Troy University,"22,554",2,0,1,0,69,7,58,4,0.0,1.0
4,ALABAMA,Tuskegee University,"3,117",10,0,4,4,235,30,202,3,0.0,2.0
5,ALABAMA,University of Alabama: Huntsville,"7,636",4,0,0,2,83,22,61,0,0.0,2.0
6,ALABAMA,University of Alabama: Tuscaloosa,"33,503",6,0,4,0,468,23,441,4,0.0,2.0
7,ALABAMA,University of Montevallo,"3,083",0,0,0,0,23,6,17,0,0.0,0.0
8,ALABAMA,University of North Alabama,"7,032",6,0,2,1,63,5,57,1,0.0,3.0
9,ALABAMA,University of South Alabama,"14,636",3,0,1,1,137,16,118,3,0.0,1.0
10,ALASKA,University of Alaska: Anchorage,"17,497",0,0,0,0,102,3,96,3,0.0,0.0
11,ALASKA,University of Alaska: Fairbanks,"9,223",4,0,3,1,73,3,67,3,0.0,0.0
12,ARIZONA,Arizona State University Main Campus,"73,378",39,0,4,25,"1,131",103,995,33,2.0,10.0
13,ARIZONA,Central Arizona College,"7,018",1,0,0,0,18,6,12,0,0.0,1.0
14,ARIZONA,Northern Arizona University,"25,991",16,0,2,10,242,28,214,0,3.0,4.0
15,ARIZONA,Pima Community College,"32,988",3,0,1,1,133,9,119,5,1.0,1.0
16,ARIZONA,University of Arizona,"40,223",30,0,7,13,857,29,816,12,2.0,10.0
17,ARKANSAS,Arkansas State University: Beebe,"4,643",0,0,0,0,20,1,19,0,0.0,0.0
18,ARKANSAS,Arkansas State University: Jonesboro,"13,877",8,0,0,6,97,18,79,0,0.0,2.0
19,ARKANSAS,Arkansas Tech University,"10,950",2,0,0,1,100,24,75,1,0.0,1.0
20,ARKANSAS,Henderson State University,"3,773",0,0,0,0,25,2,23,0,0.0,0.0
21,ARKANSAS,University of Arkansas: Fayetteville,"24,537",4,0,0,0,195,27,157,11,0.0,4.0
22,ARKANSAS,University of Arkansas: Little Rock,"12,872",2,0,1,1,127,33,89,5,0.0,0.0
23,ARKANSAS,University of Arkansas: Medical Sciences,"2,809",11,0,1,10,120,2,111,7,0.0,0.0
24,ARKANSAS,University of Central Arkansas,"11,107",1,0,0,0,141,30,108,3,0.0,1.0
25,CALIFORNIA,Allan Hancock College,"10,837",0,0,0,0,21,2,18,1,0.0,0.0
26,CALIFORNIA,California State Polytechnic University: Pomona,"22,156",2,0,1,0,163,10,132,21,0.0,1.0
27,CALIFORNIA,California State Polytechnic University: San Luis Obispo,"18,679",6,0,1,1,215,2,198,15,0.0,4.0
28,CALIFORNIA,California State University: Bakersfield,"8,520",3,0,0,2,68,8,55,5,0.0,1.0
29,CALIFORNIA,California State University: Channel Islands,"4,920",7,0,1,5,49,4,43,2,0.0,1.0
