"","Metro_Area"
"1","Abilene, TX M.S.A."
"2","Akron, OH M.S.A."
"3","Albany, GA M.S.A."
"4","Albany, OR M.S.A."
"5","Albuquerque, NM M.S.A."
"6","Alexandria, LA M.S.A."
"7","Altoona, PA M.S.A."
"8","Amarillo, TX M.S.A."
"9","Ames, IA M.S.A."
"10","Anchorage, AK M.S.A."
"11","Ann Arbor, MI M.S.A."
"12","Anniston-Oxford-Jacksonville, AL M.S.A."
"13","Appleton, WI M.S.A."
"14","Asheville, NC M.S.A."
"15","Athens-Clarke County, GA M.S.A."
"16","Atlanta-Sandy Springs-Roswell, GA M.S.A."
"17","Atlantic City-Hammonton, NJ M.S.A.2"
"18","Austin-Round Rock, TX M.S.A.2"
"19","Bakersfield, CA M.S.A."
"20","Baltimore-Columbia-Towson, MD M.S.A."
"21","Bangor, ME M.S.A."
"22","Barnstable Town, MA M.S.A."
"23","Baton Rouge, LA M.S.A."
"24","Battle Creek, MI M.S.A."
"25","Bay City, MI M.S.A."
"26","Beaumont-Port Arthur, TX M.S.A."
"27","Beckley, WV M.S.A."
"28","Bellingham, WA M.S.A."
"29","Bend-Redmond, OR M.S.A."
"30","Billings, MT M.S.A."
"31","Binghamton, NY M.S.A."
"32","Birmingham-Hoover, AL M.S.A."
"33","Bismarck, ND M.S.A."
"34","Bloomington, IL M.S.A."
"35","Bloomington, IN M.S.A."
"36","Bloomsburg-Berwick, PA M.S.A"
"37","Boise City, ID M.S.A."
"38","Boulder, CO M.S.A.3"
"39","Bowling Green, KY M.S.A."
"40","Bremerton-Silverdale, WA M.S.A."
"41","Bridgeport-Stamford-Norwalk, CT M.S.A."
"42","Brownsville-Harlingen, TX M.S.A."
"43","Brunswick, GA M.S.A."
"44","Buffalo-Cheektowaga-Niagara Falls, NY M.S.A."
"45","Burlington, NC M.S.A."
"46","Burlington-South Burlington, VT M.S.A."
"47","California-Lexington Park, MD M.S.A."
"48","Canton-Massillon, OH M.S.A."
"49","Cape Coral-Fort Myers, FL M.S.A."
"50","Cape Girardeau, MO-IL M.S.A."
"51","Carson City, NV M.S.A."
"52","Casper, WY M.S.A."
"53","Cedar Rapids, IA M.S.A."
"54","Chambersburg-Waynesboro, PA M.S.A."
"55","Charleston, WV M.S.A."
"56","Charleston-North Charleston, SC M.S.A."
"57","Charlottesville, VA M.S.A."
"58","Chattanooga, TN-GA M.S.A."
"59","Cheyenne, WY M.S.A."
"60","Chicago-Naperville-Elgin, IL-IN-WI M.S.A."
"61","Chicago-Naperville-Arlington Heights, IL M.D."
"62","Elgin, IL M.D."
"63","Gary, IN M.D."
"64","Lake County-Kenosha County, IL-WI M.D."
"65","Chico, CA M.S.A."
"66","Cincinnati, OH-KY-IN M.S.A."
